WN;PS;PA;PC;PU;PET;PP;SAN;PVC;PE;POM;ABS
127.35794;0.22787;0.2364;0.3042;0.54701;0.21895;0.02587;0.2867;0.22183;0.01588;0.04028;0.35553
130.24456;0.20778;0.21142;0.2693;0.51311;0.1983;0.02282;0.26297;0.20962;0.01472;0.03788;0.3199
133.13025;0.19063;0.19196;0.24037;0.4768;0.1799;0.02026;0.24274;0.19834;0.01398;0.03532;0.29006
136.01501;0.17583;0.17448;0.21673;0.44311;0.16422;0.01968;0.22621;0.18933;0.01336;0.03266;0.26464
138.89886;0.1651;0.15977;0.19707;0.40661;0.15115;0.01968;0.21262;0.18042;0.01234;0.03059;0.2439
141.78178;0.15687;0.14848;0.18085;0.36999;0.14163;0.01922;0.2015;0.16991;0.01149;0.02934;0.2253
144.66377;0.15193;0.1413;0.16587;0.33455;0.13242;0.02062;0.19275;0.16271;0.01071;0.02918;0.20868
147.54485;0.14774;0.13429;0.15392;0.30085;0.12549;0.02489;0.18575;0.1607;0.01067;0.0277;0.19803
150.425;0.14473;0.12725;0.14303;0.27104;0.11888;0.03096;0.17996;0.15806;0.01073;0.02545;0.18938
153.30423;0.14131;0.12109;0.13376;0.2395;0.11339;0.03882;0.17519;0.15363;0.0105;0.02474;0.18035
156.18254;0.13792;0.11529;0.12429;0.21495;0.10786;0.04755;0.17064;0.15223;0.01061;0.02381;0.17363
159.05993;0.1342;0.1119;0.11728;0.19762;0.10203;0.05679;0.16669;0.1475;0.01041;0.02257;0.16729
161.9364;0.12993;0.10611;0.11077;0.181;0.09786;0.06336;0.16287;0.14564;0.0107;0.02199;0.16084
164.81195;0.1254;0.10326;0.10413;0.16786;0.09368;0.06685;0.15928;0.14327;0.01091;0.02119;0.15459
167.68657;0.12176;0.10009;0.09862;0.15617;0.09029;0.0664;0.15599;0.13785;0.01016;0.02049;0.14969
170.56028;0.11724;0.0954;0.09236;0.14596;0.08767;0.06111;0.15311;0.12938;0.00999;0.01972;0.14548
173.43307;0.1142;0.0902;0.08584;0.13653;0.08587;0.05452;0.15086;0.12573;0.01005;0.01867;0.14221
176.30494;0.1105;0.08354;0.0805;0.13015;0.08333;0.04712;0.1492;0.12093;0.01024;0.01732;0.13974
179.17589;0.10869;0.07951;0.07589;0.12548;0.0809;0.03973;0.14802;0.11599;0.0103;0.01593;0.13723
182.04592;0.10804;0.07474;0.07238;0.11928;0.07878;0.03199;0.14734;0.10868;0.01045;0.01627;0.13569
184.91503;0.10794;0.07123;0.06952;0.11441;0.07664;0.02681;0.1472;0.1035;0.0108;0.01547;0.13611
187.78322;0.1093;0.06839;0.06733;0.11136;0.07509;0.02278;0.14751;0.09546;0.01095;0.01544;0.13424
190.6505;0.11033;0.06546;0.06481;0.1065;0.07389;0.01981;0.14749;0.09068;0.01133;0.01462;0.13297
193.51686;0.11287;0.06361;0.0625;0.10298;0.07263;0.01774;0.14706;0.0866;0.01103;0.01424;0.13351
196.3823;0.1151;0.06166;0.06107;0.09854;0.07161;0.01637;0.14613;0.08011;0.0103;0.014;0.13133
199.24683;0.11774;0.05841;0.05897;0.09328;0.07151;0.01552;0.14433;0.07498;0.01027;0.0141;0.13023
202.11044;0.12242;0.05525;0.0567;0.09074;0.07188;0.01587;0.14168;0.0732;0.01002;0.01342;0.12823
204.97313;0.12552;0.05288;0.05549;0.08861;0.07129;0.01617;0.13825;0.06877;0.00928;0.01361;0.12503
207.8349;0.12953;0.05165;0.05302;0.08548;0.07158;0.01604;0.13418;0.06707;0.00865;0.01299;0.121
210.69576;0.13201;0.04986;0.05113;0.0817;0.07175;0.01536;0.12965;0.06518;0.00781;0.01236;0.1178
213.55571;0.1324;0.04847;0.04881;0.07764;0.07205;0.01567;0.1253;0.063;0.00754;0.01115;0.11331
216.41474;0.13047;0.04706;0.04616;0.0741;0.07182;0.0143;0.12111;0.06244;0.00712;0.01024;0.10776
219.27286;0.12435;0.04446;0.04295;0.06997;0.0711;0.01469;0.11676;0.06242;0.00682;0.00927;0.10344
222.13006;0.11571;0.0428;0.03991;0.06732;0.06983;0.01534;0.11261;0.06093;0.00629;0.00909;0.09971
224.98634;0.10405;0.04112;0.03807;0.06365;0.06868;0.0167;0.10867;0.06006;0.00585;0.00971;0.09515
227.84172;0.09122;0.03912;0.03622;0.05964;0.06751;0.01994;0.10463;0.05864;0.00582;0.00949;0.09102
230.69618;0.07874;0.03793;0.03613;0.05815;0.0668;0.02381;0.10062;0.05979;0.00528;0.00944;0.08795
233.54972;0.06593;0.03683;0.03721;0.05649;0.06559;0.02897;0.09689;0.05642;0.00486;0.01038;0.08454
236.40236;0.055;0.03668;0.03838;0.05286;0.06635;0.03304;0.09368;0.05544;0.00444;0.01007;0.08078
239.25408;0.04623;0.03585;0.03946;0.05077;0.06753;0.03667;0.09107;0.05401;0.00377;0.00985;0.07788
242.10489;0.04049;0.03521;0.04085;0.04895;0.06894;0.03746;0.08918;0.05404;0.00345;0.00949;0.0751
244.95479;0.03641;0.03351;0.042;0.04602;0.07162;0.03614;0.08779;0.0529;0.0031;0.00881;0.07347
247.80377;0.03327;0.03145;0.04276;0.04413;0.07521;0.03458;0.08648;0.05234;0.00295;0.00875;0.07204
250.65185;0.03184;0.02987;0.04315;0.04546;0.08019;0.03141;0.08521;0.05331;0.00259;0.00818;0.07107
